Query_Name,OTL_Name,OTT_ID,Note
Ceanothus americanus,Ceanothus americanus,559254, incertae sedis
Gillenia trifoliata,Gillenia trifoliata,873698, incertae sedis
Narcissus pseudonarcissus,Narcissus pseudonarcissus,226610, incertae sedis
Lycopodium flabelliforme,Diphasiastrum digitatum,634835,
Carex sp.,Carex sp.,,pytoy issue
Cyperus sp.,Cyperus sp.,,pytoy issue
Solidago latissimifolia,Solidago latissimifolia,,TPL:Accepted
Solidago roanensis,Solidago roanensis,,TPL:Accepted
