Query_Name,OTL_Name,OTT_ID,Note
Athyrium filix-femina var. angustum,Athyrium filix-femina var. angustum,5264110,containing "-"
Symphyotrichum novi-belgii,Symphyotrichum novi-belgii,855680,containing "-"
Vaccinium vitis-idaea,Vaccinium vitis-idaea,242921,containing "-"
Galeopsis tetrahit,Galeopsis tetrahit,1066887,incertae sedis
Carex sp.,Carex sp.,,pytoy issue; multiple ott ids
Dichanthelium sp.,Dichanthelium sp.,,pytoy issue; multiple ott ids
Juncus sp.,Juncus sp.,,pytoy issue; multiple ott ids
Symphyotrichum sp.,Symphyotrichum sp.,,pytoy issue; multiple ott ids
Viburnum sp.,Viburnum sp.,,pytoy issue; multiple ott ids
